#timestamp x y z q_x q_y q_z q_w
1703087977.366998 -0.014971672498545 -0.037343623409828 -0.139802795431618 0.001125033343357 -0.001775943873557 -0.000821799667544 0.999997452481076
1703087977.467848 -0.011000561448128 -0.042250346652016 -0.136666143852585 0.001548583288835 -0.001737655995950 -0.000755715962507 0.999997005662927
1703087977.568710 -0.019097823744314 -0.038459142881746 -0.134456469094307 0.001196030206758 -0.001710427309807 -0.000574169813681 0.999997657136849
1703087977.669579 -0.012166669713418 -0.035254011207250 -0.139518406326437 0.001175116623884 -0.002153687598539 -0.000327845679853 0.999996936619237
1703087977.770447 -0.017010026264414 -0.036693815210124 -0.139805748710788 0.000796341482955 -0.001600643726640 -0.000415436562657 0.999998315594764
1703087977.871304 -0.013038162597783 -0.035731278497321 -0.141635869051936 0.000760098042183 -0.002305636487909 -0.000477274034654 0.999996939245740
1703087977.972156 -0.011198365136654 -0.031621321492759 -0.140240274398381 0.001393691378335 -0.002173266351674 -0.000474473415955 0.999996554700407
1703087978.073100 -0.011967858438244 -0.032373782782667 -0.140953867815958 0.000671761847728 -0.001581807341070 -0.000353362303006 0.999998460877133
1703087978.173941 -0.017075164193401 -0.034226769587631 -0.141866792179505 0.000214970884143 -0.000648089880753 -0.000631767263170 0.999999567318480
1703087978.274741 -0.015239722056946 -0.033998423866415 -0.141260102584850 0.000518108627756 -0.001018863997718 -0.000546741716352 0.999999197276226
1703087978.375589 -0.011337431153367 -0.032301932017632 -0.140741719497371 0.000644070188384 -0.001628981672687 -0.000474407807247 0.999998353263409
1703087978.476451 -0.008466053214157 -0.032353115983074 -0.141590724078049 0.000623496198314 -0.001671646314288 -0.000565615439509 0.999998248463596
1703087978.577307 -0.007405165555329 -0.033345992265089 -0.140321665364576 0.000540149078067 -0.001530209764356 -0.000549576117675 0.999998532330491
1703087978.678250 -0.009102836156998 -0.034587905605587 -0.139013366395837 0.000471240778286 -0.001273598883577 -0.000616076322563 0.999998888163368
1703087978.779069 -0.010413999530038 -0.031907282036784 -0.137915170946154 0.000723496420974 -0.001132106070935 -0.000417752024852 0.999999010185516
1703087978.879888 -0.012450436788333 -0.035831837426533 -0.138739045288200 0.000428545534998 -0.000948404503283 -0.000601842609478 0.999999277331283
1703087978.980745 -0.014049995803961 -0.034864626292922 -0.139972210798632 0.000615099851088 -0.000947861778013 -0.000541657942926 0.999999214908135
1703087979.081628 -0.011928724396453 -0.031311481249268 -0.139670843953593 0.000724826677653 -0.001153775359312 -0.000461234889071 0.999998965345002
1703087979.182538 -0.011379365949943 -0.031796756971837 -0.140777038342996 0.000674352267456 -0.001180777720327 -0.000547543472522 0.999998925603989
1703087979.283328 -0.010211257763524 -0.031084517224343 -0.140426106461535 0.000825179537335 -0.001162044239330 -0.000486642332420 0.999998865954932
1703087979.384189 -0.013295693085104 -0.029820904297243 -0.140031924853101 0.000801349530363 -0.001028918634408 -0.000528332866403 0.999999010014385
1703087979.485046 -0.013602516715923 -0.031082522807837 -0.139248636523001 0.000700503340218 -0.001079289137312 -0.000534901826916 0.999999029154557
